id,year,time_id,stage_id,gameday_id,capa,tv_num,home_id,away_id,temperature,humidity_id,weather_id,y
13994,2012.0,1404.0,1.0,310.0,19694.0,4.0,17.0,39.0,3.8,66.0,27.0,18250.0
13995,2012.0,1404.0,1.0,310.0,40000.0,4.0,23.0,37.0,12.4,43.0,1.0,24316.0
13996,2012.0,1404.0,1.0,310.0,21000.0,4.0,6.0,21.0,11.3,41.0,9.0,17066.0
13997,2012.0,1406.0,1.0,310.0,50000.0,4.0,10.0,36.0,11.4,52.0,21.0,29603.0
13998,2012.0,1404.0,1.0,310.0,39232.0,4.0,8.0,14.0,22.5,32.0,1.0,25353.0
13999,2012.0,1405.0,1.0,310.0,24490.0,4.0,9.0,15.0,14.5,33.0,2.0,11283.0
14000,2012.0,1705.0,1.0,310.0,26530.0,3.0,26.0,2.0,7.1,65.0,13.0,18920.0
14001,2012.0,1904.0,1.0,310.0,15600.0,4.0,25.0,41.0,9.2,57.0,13.0,11437.0
14002,2012.0,1404.0,1.0,311.0,15349.0,3.0,31.0,33.0,12.1,46.0,10.0,13082.0
14003,2012.0,1404.0,1.0,317.0,40728.0,4.0,39.0,26.0,13.3,86.0,27.0,19010.0
14004,2012.0,1404.0,1.0,317.0,63700.0,4.0,36.0,31.0,7.2,79.0,29.0,41069.0
14005,2012.0,1403.0,1.0,317.0,72327.0,3.0,33.0,17.0,6.4,80.0,27.0,19488.0
14006,2012.0,1403.0,1.0,317.0,42300.0,4.0,2.0,25.0,11.0,68.0,27.0,26294.0
14007,2012.0,1404.0,1.0,317.0,47816.0,4.0,15.0,6.0,17.1,70.0,13.0,30764.0
14008,2012.0,1504.0,1.0,317.0,20281.0,4.0,37.0,10.0,11.5,95.0,27.0,13231.0
14009,2012.0,1704.0,1.0,317.0,15165.0,3.0,14.0,9.0,15.1,95.0,27.0,10653.0
14010,2012.0,1706.0,1.0,317.0,30132.0,3.0,21.0,8.0,17.2,70.0,1.0,14036.0
